origin,origin2,lat,lng,pop,dem,infr,num_em,capacity,mun,mun2
110001,1100015,-11.94,-62.0,23167,364,0,0,0,'Alta_Floresta_Doeste',Alta Floresta D'Oeste
110002,1100023,-9.91,-63.03,106168,1726,0,0,0,'Ariquemes',Ariquemes
110003,1100031,-13.5,-60.54,5438,76,0,0,0,'Cabixi',Cabixi
110004,1100049,-11.43,-61.44,84813,1431,0,0,0,'Cacoal',Cacoal
110005,1100056,-13.2,-60.82,16444,269,0,0,0,'Cerejeiras',Cerejeiras
110006,1100064,-13.13,-60.56,16227,239,0,0,0,'Colorado_Do_Oeste',Colorado do Oeste
110007,1100072,-13.0,-60.95,7567,128,0,0,0,'Corumbiara',Corumbiara
110008,1100080,-12.44,-64.23,17855,239,0,0,0,'Costa_Marques',Costa Marques
110009,1100098,-11.53,-61.02,32047,507,0,0,0,'Espigao_Doeste',Espigão D'Oeste
110010,1100106,-10.77,-65.32,45783,891,0,0,0,'Guajara_Mirim',Guajará-Mirim
110011,1100114,-10.44,-62.48,51933,888,0,0,0,'Jaru',Jaru
110012,1100122,-10.88,-61.95,127907,2134,0,0,0,'Ji_Parana',Ji-Paraná
110013,1100130,-9.43,-62.0,39097,495,0,0,0,'Machadinho_Doeste',Machadinho D'Oeste
110014,1100148,-11.72,-62.31,20459,261,0,0,0,'Nova_Brasilandia_Doeste',Nova Brasilândia D'Oeste
110015,1100155,-10.72,-62.26,36340,649,0,0,0,'Ouro_Preto_Do_Oeste',Ouro Preto do Oeste
110018,1100189,-11.68,-61.18,36434,626,0,0,0,'Pimenta_Bueno',Pimenta Bueno
110020,1100205,-8.77,-63.83,519531,8839,0,0,0,'Porto_Velho',Porto Velho
110025,1100254,-11.17,-61.91,19409,301,0,0,0,'Presidente_Medici',Presidente Médici
110026,1100262,-9.71,-62.9,3723,49,0,0,0,'Rio_Crespo',Rio Crespo
110028,1100288,-11.72,-61.79,54702,929,0,0,0,'Rolim_De_Moura',Rolim de Moura
110029,1100296,-11.91,-61.77,6781,106,0,0,0,'Santa_Luzia_Doeste',Santa Luzia D'Oeste
110030,1100304,-12.74,-60.14,97448,1546,0,0,0,'Vilhena',Vilhena
110032,1100320,-11.7,-62.72,22931,375,0,0,0,'Sao_Miguel_Do_Guapore',São Miguel do Guaporé
110033,1100338,-10.41,-65.33,29757,466,0,0,0,'Nova_Mamore',Nova Mamoré
110034,1100346,-11.34,-62.28,14722,195,0,0,0,'Alvorada_Doeste',Alvorada D'Oeste
110037,1100379,-12.13,-61.85,13227,160,0,0,0,'Alto_Alegre_Dos_Parecis',Alto Alegre dos Parecis
110040,1100403,-9.72,-63.32,20999,220,0,0,0,'Alto_Paraiso',Alto Paraíso
110045,1100452,-10.21,-63.83,38937,604,0,0,0,'Buritis',Buritis
110050,1100502,-11.71,-61.99,8751,96,0,0,0,'Novo_Horizonte_Do_Oeste',Novo Horizonte do Oeste
110060,1100601,-10.34,-62.9,6190,76,0,0,0,'Cacaulandia',Cacaulândia
110070,1100700,-10.57,-63.62,14009,176,0,0,0,'Campo_Novo_De_Rondonia',Campo Novo de Rondônia
110080,1100809,-8.79,-63.7,25983,391,0,0,0,'Candeias_Do_Jamari',Candeias do Jamari
